source_id,source_label,target_id,target_label,relation,support,weight
3797f4c0-5a77-4d24-a693-c12daf6cd3d3,Phenomenology,45891beb-bda2-4d87-a0ab-b16654e52dbe,Muons,STUDIES,26,0.63
669f5aa1-86be-40b6-8aed-bb6ad02c98fc,Extensions of scalar sector,45891beb-bda2-4d87-a0ab-b16654e52dbe,Muons,STUDIES,8,0.54
5400cdbb-53f8-47c7-b672-6ba1edef9e87,Rare decays,45891beb-bda2-4d87-a0ab-b16654e52dbe,Muons,STUDIES,21,0.605
45891beb-bda2-4d87-a0ab-b16654e52dbe,Muons,8568a1b2-908f-465b-9013-9f8ec543070c,Magnetic moment,EXHIBITS,103,1.0
1cef0413-aa47-4526-8ef8-785465baa968,Neuronal dynamics,be788987-3638-4630-ab9b-2d10b1fac65f,Collective dynamics,STUDIES,67,0.835
1cef0413-aa47-4526-8ef8-785465baa968,Neuronal dynamics,8b374c75-8448-476e-a872-f15b0cf5a5fe,Biological neural networks,STUDIES,83,0.915
1cef0413-aa47-4526-8ef8-785465baa968,Neuronal dynamics,205e6918-12a2-4f4c-9795-8f723f476866,Neuronal network activity,STUDIES,61,0.8049999999999999
8b374c75-8448-476e-a872-f15b0cf5a5fe,Biological neural networks,be788987-3638-4630-ab9b-2d10b1fac65f,Collective dynamics,STUDIES,24,0.62
8b374c75-8448-476e-a872-f15b0cf5a5fe,Biological neural networks,205e6918-12a2-4f4c-9795-8f723f476866,Neuronal network activity,STUDIES,56,0.78
205e6918-12a2-4f4c-9795-8f723f476866,Neuronal network activity,be788987-3638-4630-ab9b-2d10b1fac65f,Collective dynamics,STUDIES,16,0.58
205e6918-12a2-4f4c-9795-8f723f476866,Neuronal network activity,8b374c75-8448-476e-a872-f15b0cf5a5fe,Biological neural networks,STUDIES,56,0.78
5b3df46f-4812-4196-8c68-7fb8577cdd80,Synchronization,be788987-3638-4630-ab9b-2d10b1fac65f,Collective dynamics,STUDIES,201,1.0
5b3df46f-4812-4196-8c68-7fb8577cdd80,Synchronization,8b374c75-8448-476e-a872-f15b0cf5a5fe,Biological neural networks,STUDIES,25,0.625
5b3df46f-4812-4196-8c68-7fb8577cdd80,Synchronization,205e6918-12a2-4f4c-9795-8f723f476866,Neuronal network activity,STUDIES,16,0.58
55539a3d-11b8-4ce7-b556-02c59dcba864,Synchronization transition,be788987-3638-4630-ab9b-2d10b1fac65f,Collective dynamics,STUDIES,107,1.0
55539a3d-11b8-4ce7-b556-02c59dcba864,Synchronization transition,8b374c75-8448-476e-a872-f15b0cf5a5fe,Biological neural networks,STUDIES,12,0.56
55539a3d-11b8-4ce7-b556-02c59dcba864,Synchronization transition,205e6918-12a2-4f4c-9795-8f723f476866,Neuronal network activity,STUDIES,12,0.56
376c5d7d-24b3-40a2-a82d-a517ac25dbad,"Neuroscience, neural computation & artificial intelligence",be788987-3638-4630-ab9b-2d10b1fac65f,Collective dynamics,STUDIES,16,0.58
376c5d7d-24b3-40a2-a82d-a517ac25dbad,"Neuroscience, neural computation & artificial intelligence",8b374c75-8448-476e-a872-f15b0cf5a5fe,Biological neural networks,STUDIES,65,0.825
376c5d7d-24b3-40a2-a82d-a517ac25dbad,"Neuroscience, neural computation & artificial intelligence",205e6918-12a2-4f4c-9795-8f723f476866,Neuronal network activity,STUDIES,39,0.6950000000000001
9e019803-f9d8-4802-b1ac-d2c035d9508f,Electronic structure,89a3e978-3f1f-4840-8622-57dd7e262105,Disordered alloys,STUDIES,31,0.655
8ec9d84c-4a4c-499f-81f9-e6e703c50033,Quantum communication,709d46e1-304b-4708-a494-d27c13e9ca2c,Quantum dots,STUDIES,26,0.63
8ec9d84c-4a4c-499f-81f9-e6e703c50033,Quantum communication,f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,STUDIES,29,0.645
8ec9d84c-4a4c-499f-81f9-e6e703c50033,Quantum communication,d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,STUDIES,7,0.535
8ec9d84c-4a4c-499f-81f9-e6e703c50033,Quantum communication,5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,STUDIES,9,0.545
26ef5ca9-b059-4dbd-9ef3-00c8944a7e47,Single photon sources,709d46e1-304b-4708-a494-d27c13e9ca2c,Quantum dots,STUDIES,70,0.85
26ef5ca9-b059-4dbd-9ef3-00c8944a7e47,Single photon sources,f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,STUDIES,11,0.555
26ef5ca9-b059-4dbd-9ef3-00c8944a7e47,Single photon sources,d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,STUDIES,9,0.545
26ef5ca9-b059-4dbd-9ef3-00c8944a7e47,Single photon sources,5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,STUDIES,19,0.595
f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,709d46e1-304b-4708-a494-d27c13e9ca2c,Quantum dots,STUDIES,6,0.53
f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,STUDIES,11,0.555
f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,STUDIES,25,0.625
d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,709d46e1-304b-4708-a494-d27c13e9ca2c,Quantum dots,STUDIES,34,0.67
d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,STUDIES,11,0.555
d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,STUDIES,40,0.7
5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,709d46e1-304b-4708-a494-d27c13e9ca2c,Quantum dots,STUDIES,34,0.67
5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,STUDIES,25,0.625
5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,STUDIES,40,0.7
31a5539e-a266-4242-8f21-0422ca28a85e,Integrated optics,709d46e1-304b-4708-a494-d27c13e9ca2c,Quantum dots,STUDIES,19,0.595
31a5539e-a266-4242-8f21-0422ca28a85e,Integrated optics,f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,STUDIES,21,0.605
31a5539e-a266-4242-8f21-0422ca28a85e,Integrated optics,d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,STUDIES,52,0.76
31a5539e-a266-4242-8f21-0422ca28a85e,Integrated optics,5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,STUDIES,77,0.885
3f3c14af-f4ee-4098-abe7-d077b362704e,Optical quantum information processing,709d46e1-304b-4708-a494-d27c13e9ca2c,Quantum dots,STUDIES,28,0.64
3f3c14af-f4ee-4098-abe7-d077b362704e,Optical quantum information processing,f7cf6ebf-ce2c-4b70-8e90-bc74a1729337,Optical fibers,STUDIES,43,0.715
3f3c14af-f4ee-4098-abe7-d077b362704e,Optical quantum information processing,d9fbef9a-71f6-4881-9f69-8d81c5749cff,Photonic crystals,STUDIES,13,0.565
3f3c14af-f4ee-4098-abe7-d077b362704e,Optical quantum information processing,5802dce1-0079-4688-9f4e-a79871191efc,Optical microcavities,STUDIES,20,0.6
abc8b5e1-9768-40d2-8d64-1bc2f0c09a89,Quantum electrodynamics,a93bbd60-566f-4c4c-b6df-e93921384a8d,Photons,STUDIES,53,0.765
25bc4713-6ee8-4a66-8ab3-a3e33090c90e,Effective field theory,a93bbd60-566f-4c4c-b6df-e93921384a8d,Photons,STUDIES,22,0.61
ee82ad04-6c47-46a4-a70d-c9a7d7989f6a,Quantum field theory,a93bbd60-566f-4c4c-b6df-e93921384a8d,Photons,STUDIES,37,0.685
2007366a-9fc5-499c-90bd-02ba78a14762,Strong electromagnetic field effects,a93bbd60-566f-4c4c-b6df-e93921384a8d,Photons,STUDIES,9,0.545
25bc4713-6ee8-4a66-8ab3-a3e33090c90e,Effective field theory,a93bbd60-566f-4c4c-b6df-e93921384a8d,Photons,PROBES,22,0.61
6d57b8e3-e308-4a09-94e7-e552182a6352,Charge order,8fc60c42-47b7-46f9-85a7-8c09b9e3cdbd,Two-dimensional electron system,STUDIES,13,0.565
520d3361-6e3b-4612-895f-98a7259acfe3,Quantum phase transitions,3922ad9d-d6c8-41f8-8142-a0d7d7b1e317,Triangular lattice,STUDIES,10,0.55
520d3361-6e3b-4612-895f-98a7259acfe3,Quantum phase transitions,8fc60c42-47b7-46f9-85a7-8c09b9e3cdbd,Two-dimensional electron system,STUDIES,42,0.71
520d3361-6e3b-4612-895f-98a7259acfe3,Quantum phase transitions,0421be99-33ef-411a-8c39-9cdbc7bb8f4a,Two-dimensional electron gas,STUDIES,14,0.5700000000000001
520d3361-6e3b-4612-895f-98a7259acfe3,Quantum phase transitions,8bf49057-d087-4218-b1ad-0678d26c2751,Lattice models in statistical physics,STUDIES,20,0.6
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,3922ad9d-d6c8-41f8-8142-a0d7d7b1e317,Triangular lattice,STUDIES,10,0.55
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,8fc60c42-47b7-46f9-85a7-8c09b9e3cdbd,Two-dimensional electron system,STUDIES,27,0.635
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,0421be99-33ef-411a-8c39-9cdbc7bb8f4a,Two-dimensional electron gas,STUDIES,11,0.555
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,8bf49057-d087-4218-b1ad-0678d26c2751,Lattice models in statistical physics,STUDIES,80,0.9
11598af2-484c-44e2-b795-7b98492778cb,Extended Hubbard model,3922ad9d-d6c8-41f8-8142-a0d7d7b1e317,Triangular lattice,PROBES,5,0.525
11598af2-484c-44e2-b795-7b98492778cb,Extended Hubbard model,8fc60c42-47b7-46f9-85a7-8c09b9e3cdbd,Two-dimensional electron system,PROBES,10,0.55
4f95a01c-85bf-4b22-916d-6e9fcc586377,Mean-field & cluster methods,8bf49057-d087-4218-b1ad-0678d26c2751,Lattice models in statistical physics,PROBES,7,0.535
2d89a076-7a54-4494-973a-ea562f654b8e,Mean field theory,3922ad9d-d6c8-41f8-8142-a0d7d7b1e317,Triangular lattice,PROBES,5,0.525
2d89a076-7a54-4494-973a-ea562f654b8e,Mean field theory,8fc60c42-47b7-46f9-85a7-8c09b9e3cdbd,Two-dimensional electron system,PROBES,39,0.6950000000000001
2d89a076-7a54-4494-973a-ea562f654b8e,Mean field theory,0421be99-33ef-411a-8c39-9cdbc7bb8f4a,Two-dimensional electron gas,PROBES,16,0.58
2d89a076-7a54-4494-973a-ea562f654b8e,Mean field theory,8bf49057-d087-4218-b1ad-0678d26c2751,Lattice models in statistical physics,PROBES,14,0.5700000000000001
a088bad1-4904-4f08-a625-a9840fdf32c7,Lattice models in condensed matter,8fc60c42-47b7-46f9-85a7-8c09b9e3cdbd,Two-dimensional electron system,PROBES,32,0.66
a088bad1-4904-4f08-a625-a9840fdf32c7,Lattice models in condensed matter,8bf49057-d087-4218-b1ad-0678d26c2751,Lattice models in statistical physics,PROBES,32,0.66
05ff9faf-4943-45b0-b627-49eb8a9404c6,Optical conductivity,b8f736e2-6707-4b3d-98aa-236ca0e716a0,Dirac semimetal,STUDIES,40,0.7
05ff9faf-4943-45b0-b627-49eb8a9404c6,Optical conductivity,0026b3bc-1a2f-45df-8025-1243dac91047,Topological materials,STUDIES,100,1.0
05ff9faf-4943-45b0-b627-49eb8a9404c6,Optical conductivity,8a933584-7dcb-4e59-a210-5db79ca404eb,Node-line semimetals,STUDIES,15,0.575
50f22423-51dd-440c-a869-bb9c157808bb,Density functional calculations,b8f736e2-6707-4b3d-98aa-236ca0e716a0,Dirac semimetal,PROBES,26,0.63
50f22423-51dd-440c-a869-bb9c157808bb,Density functional calculations,0026b3bc-1a2f-45df-8025-1243dac91047,Topological materials,PROBES,108,1.0
50f22423-51dd-440c-a869-bb9c157808bb,Density functional calculations,8a933584-7dcb-4e59-a210-5db79ca404eb,Node-line semimetals,PROBES,13,0.565
b35990fc-9fc9-490b-86ec-e6c53407c5fa,Wannier function methods,b8f736e2-6707-4b3d-98aa-236ca0e716a0,Dirac semimetal,PROBES,12,0.56
b35990fc-9fc9-490b-86ec-e6c53407c5fa,Wannier function methods,0026b3bc-1a2f-45df-8025-1243dac91047,Topological materials,PROBES,122,1.0
b35990fc-9fc9-490b-86ec-e6c53407c5fa,Wannier function methods,8a933584-7dcb-4e59-a210-5db79ca404eb,Node-line semimetals,PROBES,19,0.595
a8f7402a-6d62-410e-8a9f-b51a6ebfdddd,k dot p method,b8f736e2-6707-4b3d-98aa-236ca0e716a0,Dirac semimetal,PROBES,41,0.705
a8f7402a-6d62-410e-8a9f-b51a6ebfdddd,k dot p method,0026b3bc-1a2f-45df-8025-1243dac91047,Topological materials,PROBES,157,1.0
a8f7402a-6d62-410e-8a9f-b51a6ebfdddd,k dot p method,8a933584-7dcb-4e59-a210-5db79ca404eb,Node-line semimetals,PROBES,34,0.67
1c34a735-46ab-4b59-bca0-c03f0c76d289,Optical second-harmonic generation,0026b3bc-1a2f-45df-8025-1243dac91047,Topological materials,PROBES,9,0.545
5f042072-e281-48f0-8092-ea2fe2c29c26,Machine learning,12721ec5-11d3-484a-9ea9-a7bea1986722,Semiconductors,STUDIES,17,0.585
c9f142c1-4ecb-437a-8586-97957a1ebdba,Quantum control,12721ec5-11d3-484a-9ea9-a7bea1986722,Semiconductors,STUDIES,16,0.58
5f042072-e281-48f0-8092-ea2fe2c29c26,Machine learning,12721ec5-11d3-484a-9ea9-a7bea1986722,Semiconductors,PROBES,17,0.585
024cf552-b967-4a51-8b54-d209e10f0bc7,Dark matter,3724958d-c1dd-4fcd-ab51-41d9a5893748,Galactic halos,STUDIES,80,0.9
6287ac05-d956-4c3c-9882-8ea7a798f964,General relativity,3724958d-c1dd-4fcd-ab51-41d9a5893748,Galactic halos,STUDIES,9,0.545
977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,4254adf6-872d-4868-9931-a2a3e84b566e,Bose-Einstein condensates,STUDIES,465,1.0
977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,db7ba2bd-700a-4b0b-b444-b873c97ff818,Quantum fluids & solids,STUDIES,67,0.835
977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,8c8ef32c-a457-4777-b4c3-caa510d854f0,Supersolids,STUDIES,28,0.64
4254adf6-872d-4868-9931-a2a3e84b566e,Bose-Einstein condensates,977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,STUDIES,465,1.0
4254adf6-872d-4868-9931-a2a3e84b566e,Bose-Einstein condensates,db7ba2bd-700a-4b0b-b444-b873c97ff818,Quantum fluids & solids,STUDIES,135,1.0
4254adf6-872d-4868-9931-a2a3e84b566e,Bose-Einstein condensates,8c8ef32c-a457-4777-b4c3-caa510d854f0,Supersolids,STUDIES,82,0.9099999999999999
130b51f2-d186-4d8c-bfd2-24111492cf79,Dipolar gases,977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,STUDIES,75,0.875
130b51f2-d186-4d8c-bfd2-24111492cf79,Dipolar gases,4254adf6-872d-4868-9931-a2a3e84b566e,Bose-Einstein condensates,STUDIES,154,1.0
130b51f2-d186-4d8c-bfd2-24111492cf79,Dipolar gases,db7ba2bd-700a-4b0b-b444-b873c97ff818,Quantum fluids & solids,STUDIES,15,0.575
130b51f2-d186-4d8c-bfd2-24111492cf79,Dipolar gases,8c8ef32c-a457-4777-b4c3-caa510d854f0,Supersolids,STUDIES,66,0.8300000000000001
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,STUDIES,33,0.665
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,4254adf6-872d-4868-9931-a2a3e84b566e,Bose-Einstein condensates,STUDIES,70,0.85
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,db7ba2bd-700a-4b0b-b444-b873c97ff818,Quantum fluids & solids,STUDIES,25,0.625
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,8c8ef32c-a457-4777-b4c3-caa510d854f0,Supersolids,STUDIES,12,0.56
36e1d549-9909-4881-a2d8-0a501a300a26,Self-propelled particles,409fb499-ed03-4204-9d9b-37a6fecd1644,Dry active matter,STUDIES,48,0.74
36e1d549-9909-4881-a2d8-0a501a300a26,Self-propelled particles,ba8221e8-b186-4db2-abb4-bcb0cc7f5b9d,Living matter & active matter,STUDIES,215,1.0
409fb499-ed03-4204-9d9b-37a6fecd1644,Dry active matter,36e1d549-9909-4881-a2d8-0a501a300a26,Self-propelled particles,STUDIES,48,0.74
409fb499-ed03-4204-9d9b-37a6fecd1644,Dry active matter,ba8221e8-b186-4db2-abb4-bcb0cc7f5b9d,Living matter & active matter,STUDIES,97,0.985
ba8221e8-b186-4db2-abb4-bcb0cc7f5b9d,Living matter & active matter,36e1d549-9909-4881-a2d8-0a501a300a26,Self-propelled particles,STUDIES,215,1.0
ba8221e8-b186-4db2-abb4-bcb0cc7f5b9d,Living matter & active matter,409fb499-ed03-4204-9d9b-37a6fecd1644,Dry active matter,STUDIES,97,0.985
5c05a702-8101-4aee-8dc6-4fd1a1aaa3a1,Critical exponents,72e394dc-f8d4-44ff-ac08-c74d10d24d9a,Fractals,STUDIES,10,0.55
5c05a702-8101-4aee-8dc6-4fd1a1aaa3a1,Critical exponents,72e394dc-f8d4-44ff-ac08-c74d10d24d9a,Fractals,PROBES,10,0.55
609eef8d-00d9-44dd-b81a-627290cdfb23,Phase diagrams,29bd219f-a624-4ef5-b4c5-f9049f2be66e,Strongly correlated systems,STUDIES,191,1.0
609eef8d-00d9-44dd-b81a-627290cdfb23,Phase diagrams,220659d8-380e-4952-b916-494295ff4fc5,Transition metal oxides,STUDIES,12,0.56
609eef8d-00d9-44dd-b81a-627290cdfb23,Phase diagrams,7d961f4e-e5a1-4405-826f-e054c0e90dff,Unconventional superconductors,STUDIES,46,0.73
6fa907b2-6ea6-4095-b649-c38800eb22ef,Spin fluctuations,29bd219f-a624-4ef5-b4c5-f9049f2be66e,Strongly correlated systems,STUDIES,36,0.6799999999999999
6fa907b2-6ea6-4095-b649-c38800eb22ef,Spin fluctuations,7d961f4e-e5a1-4405-826f-e054c0e90dff,Unconventional superconductors,STUDIES,37,0.685
05d1f0ed-0bf5-4c6d-9e38-a9cf3a67eb5f,Density functional theory,29bd219f-a624-4ef5-b4c5-f9049f2be66e,Strongly correlated systems,PROBES,298,1.0
05d1f0ed-0bf5-4c6d-9e38-a9cf3a67eb5f,Density functional theory,220659d8-380e-4952-b916-494295ff4fc5,Transition metal oxides,PROBES,93,0.9650000000000001
05d1f0ed-0bf5-4c6d-9e38-a9cf3a67eb5f,Density functional theory,7d961f4e-e5a1-4405-826f-e054c0e90dff,Unconventional superconductors,PROBES,54,0.77
9cb6d520-c858-440f-8e4e-c1e78734140f,Dynamical mean field theory,29bd219f-a624-4ef5-b4c5-f9049f2be66e,Strongly correlated systems,PROBES,367,1.0
9cb6d520-c858-440f-8e4e-c1e78734140f,Dynamical mean field theory,220659d8-380e-4952-b916-494295ff4fc5,Transition metal oxides,PROBES,45,0.725
9cb6d520-c858-440f-8e4e-c1e78734140f,Dynamical mean field theory,7d961f4e-e5a1-4405-826f-e054c0e90dff,Unconventional superconductors,PROBES,36,0.6799999999999999
175d7ede-663a-458e-9cc0-0de53c91520c,Non-Fermi-liquid theory,29bd219f-a624-4ef5-b4c5-f9049f2be66e,Strongly correlated systems,PROBES,116,1.0
175d7ede-663a-458e-9cc0-0de53c91520c,Non-Fermi-liquid theory,220659d8-380e-4952-b916-494295ff4fc5,Transition metal oxides,PROBES,5,0.525
175d7ede-663a-458e-9cc0-0de53c91520c,Non-Fermi-liquid theory,7d961f4e-e5a1-4405-826f-e054c0e90dff,Unconventional superconductors,PROBES,18,0.59
d087a960-b5b7-4fb4-ac88-6e150de91ccb,Bose-Bose mixtures,977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,STUDIES,15,0.575
ee82ad04-6c47-46a4-a70d-c9a7d7989f6a,Quantum field theory,977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,STUDIES,11,0.555
55bba34b-0d31-428f-a430-4f502667434a,First-principles calculations,977ff312-56f0-422a-ae7a-f21bcc27b831,Bose gases,PROBES,9,0.545
491643bd-6b81-4fb8-8b4b-7c30910e26e3,Skin effect,6d0b28b1-a3eb-40f1-bf96-43308f5d2c56,Non-Hermitian systems,STUDIES,136,1.0
bfe403ee-cd34-466b-b8bf-f90b4d4431fc,Topological phases of matter,6d0b28b1-a3eb-40f1-bf96-43308f5d2c56,Non-Hermitian systems,STUDIES,134,1.0
7d9b7d96-c9e6-455f-9fa7-86088b7df853,Localization,6d0b28b1-a3eb-40f1-bf96-43308f5d2c56,Non-Hermitian systems,STUDIES,50,0.75
f3757435-4c4f-4297-9efb-4249f0bd8774,Cold gases in optical lattices,6d0b28b1-a3eb-40f1-bf96-43308f5d2c56,Non-Hermitian systems,STUDIES,8,0.54
358a880c-10d7-4a15-9fbe-9e182dc66d6b,Quantum algorithms & computation,6beb8b63-e263-43d9-a1f6-2d9ddead05e5,Superconducting qubits,STUDIES,18,0.59
55c3fe8b-3121-4488-a8a6-4e2876ab1113,Quantum information processing with continuous variables,6beb8b63-e263-43d9-a1f6-2d9ddead05e5,Superconducting qubits,STUDIES,20,0.6
6e1c9aa8-2e35-4fcf-ba26-5fcc93a4aed4,Quantum information architectures & platforms,6beb8b63-e263-43d9-a1f6-2d9ddead05e5,Superconducting qubits,STUDIES,145,1.0
9e019803-f9d8-4802-b1ac-d2c035d9508f,Electronic structure,6dcf8280-2ae3-4243-be61-782fc2770b58,Doped semiconductors,STUDIES,94,0.97
5e2e9bde-5b3f-4239-80bf-378c5e279976,Tight-binding model,6dcf8280-2ae3-4243-be61-782fc2770b58,Doped semiconductors,PROBES,19,0.595
bb4a3b78-a738-4e19-abd6-1feea6226ea1,Spin Hall effect,dadd0f02-6a35-463b-997f-67d64338d639,Ferromagnets,STUDIES,32,0.66
9f7a4cce-0ded-4976-b8ad-cc75830297fa,Geometric & topological phases,dadd0f02-6a35-463b-997f-67d64338d639,Ferromagnets,STUDIES,5,0.525
c8af0d4b-24a3-4374-9cc3-b8de5f2dd341,Linear response theory,dadd0f02-6a35-463b-997f-67d64338d639,Ferromagnets,PROBES,12,0.56
632f74d1-d16b-4b92-a295-b24729a93d8d,Quantum optics,1198f0b2-1f1a-416c-94f0-5e80ea9bc191,Waveguides,STUDIES,101,1.0
9dbfd6fe-b782-4f11-826e-82ae5084a744,Radioactive beams,12ad5a64-13ab-439d-8a12-071c089de2bb,20 ≤ A ≤ 38,MEASURES,61,0.8049999999999999
38b065c4-10d9-4e16-8ace-63d1eb093d28,Mass spectrometry,12ad5a64-13ab-439d-8a12-071c089de2bb,20 ≤ A ≤ 38,MEASURES,6,0.53
81fe795c-d39b-4036-8401-e8ddd7b2d781,Penning traps,12ad5a64-13ab-439d-8a12-071c089de2bb,20 ≤ A ≤ 38,MEASURES,5,0.525
97e2d545-ee8b-42a3-bb91-36c49d6c5ffc,Spectrometers & spectroscopic techniques,12ad5a64-13ab-439d-8a12-071c089de2bb,20 ≤ A ≤ 38,MEASURES,62,0.81
85f8341d-5dbc-427c-96ab-511220fd44b6,Shell model,12ad5a64-13ab-439d-8a12-071c089de2bb,20 ≤ A ≤ 38,MEASURES,122,1.0
83c64883-5507-43f8-92bc-ae9f5ae03f02,Particle interactions,88e498c7-ee2e-4169-8786-5462f72db423,Axion-like particles,STUDIES,22,0.61
19eb7adc-6b41-43d6-b3a1-ccdd0a973e87,Alternative gravity theories,c17001d7-c0bd-41d6-b970-ea4269e7ec06,Neutron stars & pulsars,STUDIES,130,1.0
f2a9db78-1651-4a94-b66e-3e3d72056760,Phase transitions,c17001d7-c0bd-41d6-b970-ea4269e7ec06,Neutron stars & pulsars,STUDIES,13,0.565
b35238d0-83c7-4412-b293-c7d42fa92c62,Magnetism,c9fb88dd-03ca-453d-b78c-5b9bb956df7f,Topological insulators,STUDIES,82,0.9099999999999999
e27c2c2b-1771-4f5c-93e5-684185202266,Spin waves,c9fb88dd-03ca-453d-b78c-5b9bb956df7f,Topological insulators,STUDIES,12,0.56
8a07b581-f540-48ea-b2f2-a20203ee9e1f,Dzyaloshinskii-Moriya interaction,c9fb88dd-03ca-453d-b78c-5b9bb956df7f,Topological insulators,STUDIES,9,0.545
0030808d-6a1a-4ce5-974a-748b5ef3eeba,Surface states,c9fb88dd-03ca-453d-b78c-5b9bb956df7f,Topological insulators,STUDIES,312,1.0
